Popularidad,Duracion_en_ms,Explicitud,Bailabilidad,Energia,Tonalidad,Volumen,Modo,Palabrería,Acustica,Instrumentalidad,En_Vivo,Valencia,Tempo,Firma_de_tiempo,Genero_del_track
41,144080,0.0,0.573,0.961,4,-5.012,1,0.0639,0.0175,4.17e-05,0.945,0.773,136.193,4,59
43,42466,0.0,0.711,0.63,0,-6.591,1,0.238,0.451,9.2e-06,0.129,0.851,119.027,4,74
46,281480,0.0,0.374,0.92,8,-7.561,1,0.0478,8.92e-05,0.491,0.0864,0.55,195.93,4,94
31,316906,0.0,0.353,0.73,9,-6.569287627758552,0,0.0441,0.00794,0.0,0.328,0.315,119.527,4,47
11,103783,0.0,0.806,0.331,2,-12.219758792415275,1,0.07512349203425729,0.0743,3.95e-06,0.108,0.206,147.961,4,62
0,125613,0.0,0.758,0.451,6,-8.001,1,0.0375,0.75,0.0,0.0503,0.737,122.912,4,60
71,144733,1.0,0.769,0.4796135695555811,11,-10.7,0,0.035,0.585,0.015,0.102,0.527,105.95,4,30
60,243493,0.0,0.698,0.711,9,-6.037,1,0.0296,0.74,0.0,0.104,0.683,134.097,4,73
2,242573,0.0,0.756,0.646,7,-5.795,1,0.319,0.152,1.81e-05,0.108,0.429,176.088,4,63
0,148485,0.0,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,86
79,197706,0.0,0.701,0.944,4,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993,4,95
73,121671,1.0,0.835,0.462,7,-6.227,1,0.155,0.513,0.0,0.0875,0.702,78.99,4,48
0,185217,0.0,0.819,0.708,0,-4.706,1,0.0605,0.0157,8.62e-05,0.081,0.363,127.992,4,36
0,230973,0.0,0.509,0.415,0,-6.502,1,0.0272,0.856,0.0,0.14,0.393,93.576,4,52
73,201373,0.0,0.292,0.324,3,-11.996,1,0.07512349203425729,0.797,0.000473,0.12,0.384,176.631,3,75
0,172342,0.0,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,20
15,46106,0.0,0.818,0.377,0,-11.968809793440393,0,0.321,0.725,1.83e-06,0.525,0.835,71.998,4,62
2,191506,0.0,0.736,0.569,8,-3.559,0,0.0779,0.144,5.27e-05,0.112,0.433,171.973,4,84
24,540306,0.0,0.501,0.25637679569109306,9,-15.822,1,0.262,0.826,0.0,0.802,0.259,122.1848969801553,4,40
39,128000,0.0,0.5,0.94,6,-4.162,1,0.163,0.124,3.7e-05,0.206,0.538,144.244,4,30
